rank	movie	revenue	year	leo
156	Kung Fu Panda	$632,083,197	2008	0
157	The Incredibles	$631,607,053	2004	0
158	The Martian	$630,620,818	2015	0
159	Hancock	$629,443,428	2008	0
160	Water Gate Bridge	$626,571,697	2022	0
161	Fast Five	$626,137,675	2011	0
162	Men in Black 3	$624,026,776	2012	0
163	Iron Man 2	$623,933,331	2010	0
164	Ratatouille	$623,726,085	2007	0
165	Ant-Man and the Wasp	$622,674,139	2018	0
166	How to Train Your Dragon 2	$621,537,519	2014	0
167	Logan	$619,179,950	2017	0
168	The Lost World: Jurassic Park	$618,638,999	1997	0
169	Casino Royale	$616,502,912	2006	0
170	The Passion of the Christ	$612,054,506	2004	0
171	Mamma Mia!	$611,257,819	2008	0
172	Life of Pi	$609,016,565	2012	0
173	Transformers: The Last Knight	$605,425,157	2017	0
174	Madagascar: Escape 2 Africa	$603,900,354	2008	0
175	War of the Worlds	$603,873,119	2005	0
176	Tangled	$592,462,816	2010	0
177	Quantum of Solace	$589,580,482	2008	0
178	Men in Black	$589,390,539	1997	0
179	The Croods	$587,235,983	2013	0
180	The Hangover Part II	$586,764,305	2011	0
181	Iron Man	$585,796,247	2008	0
182	I Am Legend	$585,410,052	2007	0
183	Ready Player One	$582,918,849	2018	0
184	Monsters, Inc.	$579,707,738	2001	0
185	Operation Red Sea	$579,330,426	2018	0
186	Night at the Museum	$574,481,229	2006	0
187	Fifty Shades of Grey	$569,651,467	2015	0
188	Kong: Skull Island	$566,652,812	2017	0
189	The Smurfs	$563,749,323	2011	0
190	Cars 2	$559,852,396	2011	0
191	King Kong	$556,906,378	2005	0
192	Puss in Boots	$554,987,477	2011	0
193	The Mermaid	$553,810,228	2016	0
194	Armageddon	$553,709,788	1998	0
195	The Day After Tomorrow	$552,639,571	2004	0
196	Ted	$549,368,315	2012	0
197	American Sniper	$547,459,020	2014	0
198	Mission: Impossible II	$546,388,108	2000	0
199	Detective Chinatown 2	$544,185,156	2018	0
200	X-Men: Apocalypse	$543,934,105	2016	0
